layer,app_id,start_date,previous_classification,evidence_type,matched_term_or_expression,confidence,manual_review_flag,title,supporting_text_excerpt
C0,7089,2015-01-01,ALREADY_RAP_BOUND,current_conservative_classifier,WES,HIGH_BASELINE,no,Exome Sequencing of All Premature Coronary Artery Disease Participants in UK Biobank,"WES [schema27_title]: Exome Sequencing of All Premature Coronary Artery Disease Participants in UK Biobank || GENERIC_GENETIC_LANGUAGE [schema27_notes]: ...ipants with and without CAD. Successful completion of this study should result in the identification of novel genetic causes for MI, the leading cause of death in the UK. Genomic variation discovered in the UK Biobank associate... || GENERIC_SEQUENCE_LANGUAGE [schema27_title]: Exome Sequencing of All Premature Coronary Artery Disease Participants in UK Biobank"
C0,53279,2019-12-23,ALREADY_RAP_BOUND,current_conservative_classifier,WES,HIGH_BASELINE,no,Prediction of the tumor mutation burden and its predictive value in UK biobank cancer patients: using...,"WES [schema27_notes]: ...were associated with the response of the immunotherapy. Mutational profile can be acquired through UK Biobank whole-exome sequencing data in cancer patients, and can be analyzed effectively by using machine learning algorithm. We will eval... || GENERIC_SEQUENCE_LANGUAGE [schema27_notes]: ...ted with the response of the immunotherapy. Mutational profile can be acquired through UK Biobank whole-exome sequencing data in cancer patients, and can be analyzed effectively by using machine learning algorithm. We will evaluat... || PHYSICAL_SAMPLE_OR_EXTERNAL_ASSAY_LANGUAGE [schema27_notes]: ...se of immunotherapy. Several researches reported that mutational profile derived from primary tumor tissue or blood samples were associated with the response of the immunotherapy. Mutational profile can be acquired through UK Biobank..."
C0,58864,2020-04-20,ALREADY_RAP_BOUND,current_conservative_classifier,WGS,HIGH_BASELINE,no,Monitoring tumour burden in circulating free DNA by low coverage whole genome sequencing,WGS [schema27_title]: Monitoring tumour burden in circulating free DNA by low coverage whole genome sequencing || GENERIC_GENETIC_LANGUAGE [schema27_title]: Monitoring tumour burden in circulating free DNA by low coverage whole genome sequencing || GENERIC_SEQUENCE_LANGUAGE [schema27_title]: Monitoring tumour burden in circulating free DNA by low coverage whole genome sequencing
C0,62905,2020-07-27,ALREADY_RAP_BOUND,current_conservative_classifier,WES,HIGH_BASELINE,no,"Analyzing unmappable (""camouflaged"") genome regions in UK Biobank exome sequencing data using the LPA gene...","WES [schema27_title]: Analyzing unmappable (""camouflaged"") genome regions in UK Biobank exome sequencing data using the LPA gene as a model. || GENERIC_GENETIC_LANGUAGE [schema27_title]: Analyzing unmappable (""camouflaged"") genome regions in UK Biobank exome sequencing data using the LPA gene as a model. || GENERIC_SEQUENCE_LANGUAGE [schema27_title]: Analyzing unmappable (""camouflaged"") genome regions in UK Biobank exome sequencing data using the LPA gene as a model."
C0,60111,2020-08-17,ALREADY_RAP_BOUND,current_conservative_classifier,WES,HIGH_BASELINE,no,Using whole exome sequencing to identify rare functional variants of severe neurological disorders,WES [schema27_title]: Using whole exome sequencing to identify rare functional variants of severe neurological disorders || GENERIC_GENETIC_LANGUAGE [schema27_title]: Using whole exome sequencing to identify rare functional variants of severe neurological disorders || GENERIC_SEQUENCE_LANGUAGE [schema27_title]: Using whole exome sequencing to identify rare functional variants of severe neurological disorders
C0,62824,2020-08-19,ALREADY_RAP_BOUND,current_conservative_classifier,OMOP_RAP_ONLY,HIGH_BASELINE,no,UK Biobank OMOP based analyses (including COVID-19 network study),OMOP_RAP_ONLY [schema27_title]: UK Biobank OMOP based analyses (including COVID-19 network study)
C0,62659,2021-01-11,ALREADY_RAP_BOUND,current_conservative_classifier,WES,HIGH_BASELINE,no,Co-analysis of the International Mouse Phenotyping Consortium (IMPC) data and the UK Biobank exome...,WES [schema27_title]: Co-analysis of the International Mouse Phenotyping Consortium (IMPC) data and the UK Biobank exome sequencing and blood screen data to identify gene-phenotype associations || GENERIC_GENETIC_LANGUAGE [schema27_title]: ...ouse Phenotyping Consortium (IMPC) data and the UK Biobank exome sequencing and blood screen data to identify gene-phenotype associations || GENERIC_SEQUENCE_LANGUAGE [schema27_title]: Co-analysis of the International Mouse Phenotyping Consortium (IMPC) data and the UK Biobank exome sequencing and blood screen data to identify gene-phenotype associations
C0,53589,2021-01-27,ALREADY_RAP_BOUND,current_conservative_classifier,WGS,HIGH_BASELINE,no,Evolution and consequence of endogenous HHV-6,"WGS [schema27_notes]: ...ank to address these questions. We anticipate that this study will take 36 months and will be updated as more whole genome sequencing data becomes available. If we find a strong association with a medical condition, it may be possible to sc... || GENERIC_GENETIC_LANGUAGE [schema27_notes]: ...we do not know if people whose genome contains HHV-6 are at increased risk of medical conditions. We will use genetic and phenotypic data collected by UK Biobank to address these questions. We anticipate that this study will ta... || GENERIC_SEQUENCE_LANGUAGE [schema27_notes]: ...s these questions. We anticipate that this study will take 36 months and will be updated as more whole genome sequencing data becomes available. If we find a strong association with a medical condition, it may be possible to scree..."
C1,52467,2019-11-01,NEWLY_RAP_BOUND,explicit_sequence_data_wording,genome sequence data / genomic sequence data,HIGH,no,Systematic identification of genetic associations with drug-induced adverse reactions,"...ability, we aim to focus explorations on the genetic variants which have a role in the person-to-person variability of drug responses in a systematic manner. Using whole-exome- or genome sequencing data, we will provide optimized algorithms that suggest top-ranked variants or genes for each defined drug-induced adverse reaction with possible genetic associations to unexpected dru..."
C1,70956,2021-03-01,NEWLY_RAP_BOUND,explicit_sequence_data_wording,exome sequencing / exome sequence,HIGH,no,Understanding of the genetic interplay of rare and common variation in shaping human disease,"...tics studies will be leveraged to differentiate functional vs natural variation. For the analysis of the genetic data, we will use a combination of the imputed data as well as the exome-sequence data from jointly-called VCF files. website_excerpt: There is a disconnect between the study of the role of common genetic variation and the study of rare protein coding variants..."
C1,71699,2021-12-07,NEWLY_RAP_BOUND,explicit_sequence_data_wording,genome sequence data / genomic sequence data,HIGH,no,"Identifying mechanisms and risk markers for metabolic dysfunction, diabetes and diabetes related...","...ging markers), and their interaction on cardio-metabolic function; risk of diabetes and complications; and other associated conditions. We will be exploring novel information from genome sequence data which will be released by the UKBB this year and the opportunity to integrate non-invasive imaging data using machine learning methods to improve disease risk prediction for indiv..."
C1,50000,2019-05-29,UNCLEAR,explicit_sequence_data_wording,genome sequence data / genomic sequence data,HIGH,no,Using human population sequencing data to explore protein structure and function,"...th a mutation is important to understand genetic diseases, and identify new personalised treatment options. This project will assess, over the next 18 months, the ability of human genomic sequencing data to identify the functionally important regions of all human proteins. This will provide insight into how these proteins work, and importantly, how mutations that disrupt these fun..."
C1,648,2012-11-01,MIXED,explicit_sequence_data_wording,exome data / exome variants,HIGH_NEEDS_MIXED_REVIEW,yes,Common and rare genetic variants in respiratory health: the UK Biobank Lung Exome Variant Evaluation (UK...,schema27_title: Common and rare genetic variants in respiratory health: the UK Biobank Lung Exome Variant Evaluation (UK BiLEVE) consortium schema27_notes: Lung function is an important indicator of respiratory health and mortality. Measures of lung function show irreversible airway o...
