"date_or_period","event","official_source","source_date","process_stage_affected","projects_affected","expected_timing_implication","relevance_to_public_start_date","evidence_strength","its_use","directly_documented_fact","interpretation_or_inference"
"March 2012 onward","UK Biobank data first made available to researchers under the historical access model","https://community.ukbiobank.ac.uk/hc/en-gb/articles/26655145866269-Past-data-releases","Updated 21 January 2026; release chronology dates March 2012","Data release and access model","All projects seeking UKB data after launch","Establishes long pre-period with download/data-release system before RAP-default transition","Defines the historical regime against which recorded project starts are observed","HIGH","CONTEXT_ONLY","Past-release chronology says baseline data were first made available in March 2012 and lists later releases by month.","The public Start date should be interpreted within a long-running approved-project access system, not as a newly created application measure."
"2021","UKB-RAP launched","https://community.ukbiobank.ac.uk/hc/en-gb/community/posts/19996604847133-Changing-the-way-UK-Biobank-data-is-made-available-to-researchers-around-the-world","Edited 19 November 2024; source says UKB-RAP launched in 2021","Access environment","Projects using UKB-RAP before the 2024 default switch","May have affected subsets of RAP-intensive projects before July 2024, especially genomics","Shows RAP existed before the 2024 breakpoint, so July 2024 is a default-access transition, not platform birth","HIGH","CONTEXT_ONLY","UKB states that it launched UKB-RAP in 2021 and that about one-third of active projects were solely on UKB-RAP at the transition announcement.","Pre-2024 RAP use may create heterogeneous exposure but does not define the aggregate project-entry breakpoint."
"July 2023","OMOP release on RAP","https://community.ukbiobank.ac.uk/hc/en-gb/articles/26655145866269-Past-data-releases","Updated 21 January 2026; event dated July 2023","Data release/access modality","Projects requesting OMOP derivation data","May have pulled some users onto RAP before the formal default switch","Relevant only as evidence that some data assets were already RAP-mediated before July 2024","MEDIUM","CONTEXT_ONLY","Past-release list records transformed UKB OMOP data as available on RAP in July 2023.","RAP-specific data releases may matter for heterogeneity, but not for aggregate project-start timing."
"Late 2023 / 30 November 2023","Main 500k whole-genome sequencing release via RAP context","https://community.ukbiobank.ac.uk/hc/en-gb/articles/26655145866269-Past-data-releases","Updated 21 January 2026; event dated late 2023","Data release/access modality","Projects using WGS/genomic sequence data","Could increase RAP-oriented applications before July 2024","Context for RAP-intensive access before default switch","MEDIUM","CONTEXT_ONLY","Past-release list records the final tranche of 500k WGS data in late 2023; the transition announcement states genomic sequence data was already RAP-only.","This strengthens the view that July 2024 changed the default access regime, not every data pathway simultaneously."
"Before project approval and access","Application and registration review process","https://community.ukbiobank.ac.uk/hc/en-gb/articles/28023058927261-AMS-User-Guide-Registering","Updated 09 April 2026","Application, registration, Access Committee review","New applicants and collaborators","Review and registration requirements can delay movement from submission to operational access","Start date is downstream of submission because access requires later approval, MTA, payment, and release steps","HIGH","CONTEXT_ONLY","UKB lists five access stages before access: Application, Registration, Access Committee review, MTA, and Sample/Data Release.","Recorded starts should not be called new applications without additional evidence."
"Pre-access workflow","Formal approval, paid charges, and executed MTA required before access","https://community.ukbiobank.ac.uk/hc/en-gb/articles/28002689502237-Applying-to-UK-Biobank-and-accessing-data-FAQ","Updated 22 July 2025","Approval, payment, MTA, data/sample release","Approved applications seeking data/sample access","Outstanding payment or MTA can postpone access and therefore recorded start timing","Strongly implies public Start date is not application submission or approval alone","HIGH","CONTEXT_ONLY","FAQ says access is granted when UKB has formally approved the application, all charges have been paid, and the MTA has been signed, returned, and executed.","The public Start date is safest to interpret as recorded project start or operational access date after administrative prerequisites."
"11 June 2024","Official FAQ says average time from application submission to data release is 15 weeks","https://community.ukbiobank.ac.uk/hc/en-gb/articles/15006910060317-How-soon-do-I-get-access-to-the-data-after-I-have-submitted-my-application","Updated 11 June 2024","Submission-to-release pipeline","New applications","Creates expected lag between application submission and data access/release","Directly argues against treating project starts as contemporaneous applications","HIGH","CONTEXT_ONLY","UKB states that it takes an average of 15 weeks from application submission to data release.","Monthly new_projects should be labelled recorded project starts, not new application submissions."
"11 June 2024","MTA and payment required before data access is granted","https://community.ukbiobank.ac.uk/hc/en-gb/articles/15015476800285-When-will-I-get-access-to-the-data-after-signing-the-MTA","Updated 11 June 2024","MTA, payment, access grant","Approved applications and collaborating institutes","Administrative completion can shift start timing after approval","Strong support for interpreting Start date as downstream of MTA/payment completion","HIGH","CONTEXT_ONLY","UKB says data access requires a fully signed and executed MTA for the applicant institute and each named collaborating institute, plus invoice payment.","Institutional/institute processing may create batching or delay even without a formal application pause."
"5 July 2024 / July 2024","RAP-by-default transition for new projects and additional data for existing projects","https://community.ukbiobank.ac.uk/hc/en-gb/community/posts/19996604847133-Changing-the-way-UK-Biobank-data-is-made-available-to-researchers-around-the-world","Post edited 19 November 2024; study metadata treats source event as 5 July 2024","Access modality, onboarding, data updating, exemptions","All new projects and existing projects seeking additional data, subject to limited exceptions","Affects the access route and prerequisites for operational projects from the transition point","Primary external breakpoint for recorded project starts because operational access moved to RAP by default","HIGH","PRIMARY_BREAKPOINT_CANDIDATE","UKB announced that all data for new projects and additional data for existing projects would be available solely on UKB-RAP with limited exceptions.","Use July 2024 as the primary institutionally anchored breakpoint; do not infer narrower month windows from outcomes."
"July 2024 to Q4 2024","UKB data updates held until Q4 2024 during transition","https://community.ukbiobank.ac.uk/hc/en-gb/community/posts/19996604847133-Changing-the-way-UK-Biobank-data-is-made-available-to-researchers-around-the-world","Post edited 19 November 2024","Data update/release schedule","Existing and newly approved projects","May reduce differential data-version timing during transition; could affect researcher incentives or activation timing","Context for transition phase, but not direct evidence of project-start pause","MEDIUM","SUPPORTED_TRANSITION_WINDOW","UKB said data would not be updated until Q4 2024 so existing and newly approved projects had equal access during the transition phase.","This supports a broader transition context, not a July-September project-start interruption dummy."
