application_id,application_title,project_start_date,application_pi,application_institution,doi,pmid,publication_title,curated_set,dmca_strict_21,dmca_main_27,dmca_broad_48,final_expanded_sample,baseline_or_new,manual_confirmation_status,lineage_id_available,lineage_ids,linked_repository_family_ids,linked_repo_urls,repo_count,notice_ids,notice_count,first_dmca_notice_date,linked_targeted_row_count,evidence_classes,match_grades,curation_source,provenance,count_note,reviewer_explanation
10035,Risk factors and associated causal pathways linked to blood pressure,2017-03-16,Professor Paul Elliott,Imperial College London,,,,BROAD_EXTRA_21,0,0,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
10279,The relationship of cognitive function and negative emotions with morbidity and mortality: an aetiological investigation,2015-04-01,Dr Michelle Luciano,University of Edinburgh,,,,BROAD_EXTRA_21,0,0,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
12184,"Type 2 diabetes, physical activity, sedentary behaviour and sleep.",2015-03-23,Professor Mike Trenell,Newcastle University,,,,BROAD_EXTRA_21,0,0,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
17984,Genotype-environment interactions and sub-classification of disease,2016-03-01,Professor Greg Gibson,Georgia Institute of Technology,,,,final_expanded_new_from_remaining_23,0,0,0,1,new_from_remaining_23_review,probable_after_remaining_23_review,1,lineage_adrianharris96_divergence_pipeline,family_divergence-pipeline,https://github.com/AdrianHarris96/Divergence_Pipeline,1,2026-03-31-uk-biobank-2,1,,1,C; author/project/topic consistency plus public UKB project evidence,probable,remaining-23 public evidence review,remaining-23 public evidence review,new unique application from remaining 23 review,"Evidence is too generic to assign an application.; The AdrianHarris96 Divergence_Pipeline lead is consistent with Adrian M. Harris, the Georgia Tech divergence/Gini work, and UKB application 17984. The chain is credible but not a direct repo README app-ID match."
19136,Lung Health: Genes and environment,2016-05-01,Dr Deborah Jarvis,Imperial College London,,,,BROAD_EXTRA_21,0,0,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
19526,Phenomewide scan of gene level associations,2016-04-30,Dr Hae Kyung Im,University of Chicago,,,,STRICT_21,1,1,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,1,lineage_cuihuaxia_ptrs-ukb; lineage_emyanuthomas_ptrs-ukb; lineage_hakyimlab_ptrs-ukb,family_ptrs-ukb,https://github.com/CuihuaXia/ptrs-ukb; https://github.com/emyanuthomas/ptrs-ukb; https://github.com/hakyimlab/ptrs-ukb,3,2025-11-13-uk-biobank-7,1,2025-11-13,14,B2_PROJECT_FAMILY_NAME_PROPAGATION; B1_AUTHOR_LAB_PROJECT_NAME_TOPIC_CONSISTENCY,confirmed; probable,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,available_notice_lineage_evidence,Public metadata seed records strong but non-deterministic repository-publication-application evidence.; available_notice_lineage_evidence
19542,Identifying multi-level biomarkers and disease mechanisms for major mental disorders,2016-10-01,Professor Jianfeng Feng,University of Warwick,,,,STRICT_21,1,1,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,1,lineage_frank-hqz_pain_proteomics; lineage_jjrun-11_imds_wes; lineage_sirius-yang_imds_wes,family_imds-wes; family_pain-proteomics,https://github.com/Frank-HQZ/Pain_Proteomics; https://github.com/Sirius-Yang/IMDs_WES; https://github.com/jjrun-11/IMDs_WES,3,2025-10-15-uk-biobank-3; 2025-12-01-uk-biobank-2,2,2025-12-01,23,B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION; A1_DIRECT_APP_ID; C; paper text/application chain to an existing baseline app,confirmed; probable,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,available_notice_lineage_evidence,"Public metadata seed records strong but non-deterministic repository-publication-application evidence.; Public metadata seed records a unique repository-publication-application evidence chain.; Evidence is too generic to assign an application.; Pain proteomics public paper evidence reports UKB application 19542, already present in the fixed broad-48 baseline.; available_notice_lineage_evidence"
22224,Prospective studies of ageing and age-related diseases,2016-11-01,Dr Sara Hagg,Karolinska Institutet,,,,BROAD_EXTRA_21,0,0,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
23668,Genetic and environmental factors including nutritional and lifestyle influences on neurodevelopmental disorders/traits (including impulsivity/compulsivity) and their brain correlates,2019-07-29,Professor Jan Buitelaar,Radboud University Medical Centre,,,,BROAD_EXTRA_21,0,0,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
24247,Searching Identity-by-descent segments in biobank-scale cohorts,2016-12-15,Dr Degui Zhi,University of Texas (UT Health),,,,BROAD_EXTRA_21,0,0,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
