app_id,curated_set,dmca_strict_21,dmca_main_27,dmca_broad_48,merged_to_working_universe,project_start_date,original_stage3_classification,control_layer,schema27_title,dmca_notice_count_available_evidence,dmca_lineage_count_available_evidence,dmca_notice_count_lower_bound,dmca_lineage_count_lower_bound,first_dmca_notice_date,notice_ids,lineage_ids,repo_urls,evidence_classes,match_grades,count_note
10035,BROAD_EXTRA_21,0,0,1,1,2017-03-16,NEWLY_RAP_BOUND,,Risk factors and associated causal pathways linked to blood pressure,0,0,1,1,,,,,,,curated_app_only_lower_bound_1
10279,BROAD_EXTRA_21,0,0,1,1,2015-04-01,NEWLY_RAP_BOUND,,The relationship of cognitive function and negative emotions with morbidity and mortality: an aetiological investigation,0,0,1,1,,,,,,,curated_app_only_lower_bound_1
12184,BROAD_EXTRA_21,0,0,1,1,2015-03-23,NEWLY_RAP_BOUND,,"Type 2 diabetes, physical activity, sedentary behaviour and sleep.",0,0,1,1,,,,,,,curated_app_only_lower_bound_1
19136,BROAD_EXTRA_21,0,0,1,1,2016-05-01,NEWLY_RAP_BOUND,,Lung Health: Genes and environment,0,0,1,1,,,,,,,curated_app_only_lower_bound_1
19526,STRICT_21,1,1,1,1,2016-04-30,NEWLY_RAP_BOUND,,Phenomewide scan of gene level associations,1,3,1,3,2025-11-13,2025-11-13-uk-biobank-7,lineage_cuihuaxia_ptrs-ukb; lineage_emyanuthomas_ptrs-ukb; lineage_hakyimlab_ptrs-ukb,https://github.com/CuihuaXia/ptrs-ukb; https://github.com/emyanuthomas/ptrs-ukb; https://github.com/hakyimlab/ptrs-ukb,B1_AUTHOR_LAB_PROJECT_NAME_TOPIC_CONSISTENCY; B2_PROJECT_FAMILY_NAME_PROPAGATION,probable,available_notice_lineage_evidence
19542,STRICT_21,1,1,1,1,2016-10-01,NEWLY_RAP_BOUND,C6,Identifying multi-level biomarkers and disease mechanisms for major mental disorders,1,2,1,2,2025-12-01,2025-12-01-uk-biobank-2,lineage_jjrun-11_imds_wes; lineage_sirius-yang_imds_wes,https://github.com/Sirius-Yang/IMDs_WES; https://github.com/jjrun-11/IMDs_WES,A1_DIRECT_APP_ID; B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION,confirmed; probable,available_notice_lineage_evidence
22224,BROAD_EXTRA_21,0,0,1,1,2016-11-01,NEWLY_RAP_BOUND,,Prospective studies of ageing and age-related diseases,0,0,1,1,,,,,,,curated_app_only_lower_bound_1
23668,BROAD_EXTRA_21,0,0,1,1,2019-07-29,NEWLY_RAP_BOUND,,Genetic and environmental factors including nutritional and lifestyle influences on neurodevelopmental disorders/traits (including impulsivity/compulsivity) and their brain correlates,0,0,1,1,,,,,,,curated_app_only_lower_bound_1
24247,BROAD_EXTRA_21,0,0,1,1,2016-12-15,NEWLY_RAP_BOUND,,Searching Identity-by-descent segments in biobank-scale cohorts,0,0,1,1,,,,,,,curated_app_only_lower_bound_1
27837,MAIN_EXTRA_6,0,1,1,1,2017-08-14,NEWLY_RAP_BOUND,,Statistical Methods for Large Scale Genetic Studies,0,0,1,1,,,,,,,curated_app_only_lower_bound_1
28784,STRICT_21,1,1,1,1,2017-07-01,NEWLY_RAP_BOUND,,A statistical framework for personalized nutrition recommendations based on genetic and anthropometric data.,1,2,1,2,2025-10-14,2025-10-14-uk-biobank,lineage_farida-ali_t2dm_ukb_predictions; lineage_yochaiedlitz_t2dm_ukb_predictions,https://github.com/Farida-Ali/T2DM_UKB_predictions; https://github.com/yochaiedlitz/T2DM_UKB_predictions,A1_DIRECT_APP_ID; B2_PROJECT_FAMILY_NAME_PROPAGATION,confirmed; probable,available_notice_lineage_evidence
30418,MAIN_EXTRA_6,0,1,1,1,2018-08-06,NEWLY_RAP_BOUND,,Biomarker profiling by NMR metabolomics for the study of chronic disease risk and underlying risk factors,0,0,1,1,,,,,,,curated_app_only_lower_bound_1
31063,BROAD_EXTRA_21,0,0,1,1,2017-10-01,NEWLY_RAP_BOUND,C6,Methodological extensions to estimate genetic heritability and shared risk factors for phenotypes of the UK Biobank,0,0,1,1,,,,,,,curated_app_only_lower_bound_1
33923,STRICT_21,1,1,1,1,2018-04-06,NEWLY_RAP_BOUND,,Genetic risk prediction and variance in diverse populations,0,0,1,1,,,,,,,curated_app_only_lower_bound_1
40161,BROAD_EXTRA_21,0,0,1,1,2018-09-05,NEWLY_RAP_BOUND,,Application of deep learning for the characterisation of motion patterns in the heart,0,0,1,1,,,,,,,curated_app_only_lower_bound_1
45761,STRICT_21,1,1,1,1,2019-05-07,NEWLY_RAP_BOUND,,Genetics of cancer risk and therapy response,1,2,1,2,2025-11-25,2025-11-25-uk-biobank-6,lineage_alexwjung_cancerrisk; lineage_gerstung-lab_cancerrisk,https://github.com/alexwjung/CancerRisk; https://github.com/gerstung-lab/CancerRisk,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; B1_AUTHOR_LAB_PROJECT_NAME_TOPIC_CONSISTENCY,confirmed; probable,available_notice_lineage_evidence
46122,BROAD_EXTRA_21,0,0,1,1,2019-04-10,NEWLY_RAP_BOUND,,Characterizing the contribution of short tandem repeats to human phenotypes.,0,0,1,1,,,,,,,curated_app_only_lower_bound_1
47267,STRICT_21,1,1,1,1,2019-03-25,NEWLY_RAP_BOUND,,Cross-diagnostic and cross-platform multimodal analysis of UK Biobank imaging data,1,1,1,1,2025-11-12,2025-11-12-uk-biobank,lineage_personomicslab_popmodel_ml_mh,https://github.com/PersonomicsLab/popmodel_ML_MH,A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,ambiguous,available_notice_lineage_evidence
48388,STRICT_21,1,1,1,1,2019-05-09,NEWLY_RAP_BOUND,,Precision Retinal Biomarkers for Cognitive Impairment,1,2,1,2,2025-12-08,2025-12-08-uk-biobank-6,lineage_hewramanwaran_retinapd; lineage_lab-smile_retinapd,https://github.com/hewramanwaran/RetinaPD; https://github.com/lab-smile/RetinaPD,A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION,confirmed; probable,available_notice_lineage_evidence
49777,BROAD_EXTRA_21,0,0,1,1,2019-09-30,NEWLY_RAP_BOUND,,Identification of genetic and lifestyle risk factors of unhealthy brain ageing to direct mechanistic studies using post-mortem brain tissue,0,0,1,1,,,,,,,curated_app_only_lower_bound_1
51064,BROAD_EXTRA_21,0,0,1,1,2020-03-09,NEWLY_RAP_BOUND,,"Understanding the relationship between genomics, eye imaging, and neurodegeneration",1,2,1,2,2025-11-25,2025-11-25-uk-biobank-4,lineage_kevmanderson_ukbcc; lineage_laura-ponting_ukbcc,https://github.com/kevmanderson/ukbcc; https://github.com/laura-ponting/ukbcc,B,ambiguous,available_notice_lineage_evidence
51157,STRICT_21,1,1,1,1,2019-11-04,NEWLY_RAP_BOUND,,Stratification and modelling of competing risks in cardiovascular disease events based on multi-level patient characteristics and genetics,0,0,1,1,,,,,,,curated_app_only_lower_bound_1
52293,STRICT_21,1,1,1,1,2020-02-03,MIXED,C1,"Large-scale whole genome sequencing of the UK Biobank cohort to generate and evaluate therapeutic hypotheses regarding targets, biomarkers and pathways implicated in disease",0,0,1,1,,,,,,,curated_app_only_lower_bound_1
52887,STRICT_21,1,1,1,1,2019-09-13,NEWLY_RAP_BOUND,,Leveraging medical images and deep learning to characterize biological age,1,1,1,1,2026-03-25,2026-03-25-uk-biobank,lineage_deep-learning-and-aging_main-pipeline-and-images-based-models-pipeline,https://github.com/Deep-Learning-and-Aging/Main-pipeline-and-Images-based-models-pipeline; https://github.com/deep-learning-and-aging/main-pipeline-and-images-based-models-pipeline,C,unresolved,available_notice_lineage_evidence
55288,MAIN_EXTRA_6,0,1,1,1,2019-11-29,NEWLY_RAP_BOUND,C6,"Early life, adulthood, and genomic risk factors for early-onset cancers",0,0,1,1,,,,,,,curated_app_only_lower_bound_1
55955,STRICT_21,1,1,1,1,2020-06-24,NEWLY_RAP_BOUND,,Advancing personalised medicine for psychiatric diseases through integrative GPCR pharmacogenomics,1,2,1,2,2025-12-08,2025-12-08-uk-biobank,lineage_deepgohil_gogogpcr; lineage_petergerlach1_gogogpcr,https://github.com/deepgohil/gogoGPCR; https://github.com/petergerlach1/gogoGPCR,B1_AUTHOR_LAB_PROJECT_NAME_TOPIC_CONSISTENCY; B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION,probable,available_notice_lineage_evidence
56757,BROAD_EXTRA_21,0,0,1,1,2020-03-06,UNCLEAR,,Developing chronic disease models to inform health policy and guide treatment decisions,1,4,1,4,2025-11-13,2025-11-13-uk-biobank-6,lineage_anyajacobs_ukbiobank; lineage_anyalasagne1_ukbiobank; lineage_rooty29_ukbiobank; lineage_zhishenppp_ukbiobank,https://github.com/Rooty29/UKBiobank; https://github.com/anyajacobs/UKBiobank; https://github.com/anyalasagne1/UKBiobank; https://github.com/zhishenPPP/UKBiobank,A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION,confirmed; probable,available_notice_lineage_evidence
57232,MAIN_EXTRA_6,0,1,1,1,2020-04-30,NEWLY_RAP_BOUND,,Estimating the overall impact of genetic variation on morbidity and mortality and assessing differential risk conditional on environmental and genetic factors.,0,0,1,1,,,,,,,curated_app_only_lower_bound_1
59070,BROAD_EXTRA_21,0,0,1,1,2020-04-21,UNCLEAR,,Statistical machine learning of wearable sensor data to predict disease outcomes,0,0,1,1,,,,,,,curated_app_only_lower_bound_1
61054,STRICT_21,1,1,1,1,2020-05-19,UNCLEAR,,Social and Environmental Adversity in Relation to All-Cause Mortality,0,0,1,1,,,,,,,curated_app_only_lower_bound_1
61666,STRICT_21,1,1,1,1,2020-08-17,UNCLEAR,,Sexually antagonistic selection in humans,1,1,1,1,2026-03-31,2026-03-31-uk-biobank-4,lineage_harpak-lab_gxsex,https://github.com/harpak-lab/GxSex,B1_AUTHOR_LAB_PROJECT_NAME_TOPIC_CONSISTENCY,probable,available_notice_lineage_evidence
61785,BROAD_EXTRA_21,0,0,1,1,2021-02-23,NEWLY_RAP_BOUND,C6,Physiological and Bioinformatics Analyses of Genetic Variants in the Glucagon Receptor,0,0,1,1,,,,,,,curated_app_only_lower_bound_1
62254,BROAD_EXTRA_21,0,0,1,1,2020-11-25,NEWLY_RAP_BOUND,,Optimisation of time use for health and wellbeing,0,0,1,1,,,,,,,curated_app_only_lower_bound_1
64823,BROAD_EXTRA_21,0,0,1,1,2021-03-01,UNCLEAR,,A Genomic Data Science Framework for the 1000 Arab genome project,0,0,1,1,,,,,,,curated_app_only_lower_bound_1
65805,MAIN_EXTRA_6,0,1,1,1,2020-11-06,NEWLY_RAP_BOUND,,Genetic factors on Type 2 diabetes and hypertension,0,0,1,1,,,,,,,curated_app_only_lower_bound_1
66995,STRICT_21,1,1,1,1,2021-03-01,NEWLY_RAP_BOUND,C6,"Prediction of haplotypes, genotypes, parental-of-origin and applications in biobanks.",1,10,1,10,2025-11-13,2025-11-13-uk-biobank,lineage_23andme-jaredo_shapeit5; lineage_barneyhill_shapeit5; lineage_josephlalli_shapeit5; lineage_m-hakmi_shapeit5; lineage_odelaneau_shapeit5; lineage_rimanb_shapeit5; lineage_rwk-unil_shapeit5; lineage_sunrisefor_shapeit5; lineage_toseph_shapeit5; lineage_victorasua_shapeit5,https://github.com/23andme-jaredo/shapeit5; https://github.com/JosephLalli/shapeit5; https://github.com/M-Hakmi/shapeit5; https://github.com/RimanB/shapeit5; https://github.com/Toseph/shapeit5; https://github.com/barneyhill/shapeit5; https://github.com/odelaneau/shapeit5; https://github.com/rwk-unil/shapeit5; https://github.com/sunrisefor/shapeit5; https://github.com/victorasua/shapeit5,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION,confirmed; probable,available_notice_lineage_evidence
69610,STRICT_21,1,1,1,1,2021-05-04,UNCLEAR,,Genetic stratification of immunosuppressive drugs on neurodegenerative disorders incidence,0,0,1,1,,,,,,,curated_app_only_lower_bound_1
74395,BROAD_EXTRA_21,0,0,1,1,2021-06-16,UNCLEAR,,Interpretion of health data with artificial intelligence for study of cardiovascular risk factors and their relation to diseases,0,0,1,1,,,,,,,curated_app_only_lower_bound_1
79957,BROAD_EXTRA_21,0,0,1,1,2022-03-10,NEWLY_RAP_BOUND,,Deep learning based causal inference methods for variant interpretation,0,0,1,1,,,,,,,curated_app_only_lower_bound_1
84103,STRICT_21,1,1,1,1,2022-09-20,UNCLEAR,,Genomic approaches to relating cardiovascular structure and function to heart failure for the purposes of drug discovery.,2,1,2,1,2025-10-15,2025-10-15-uk-biobank-8; 2025-10-20-uk-biobank,lineage_tenayatherapeutics_genetic-survival-analysis-in-ukb,https://github.com/tenayatherapeutics/Genetic-Survival-Analysis-in-UKB,A1_DIRECT_APP_ID,confirmed,available_notice_lineage_evidence
87802,STRICT_21,1,1,1,1,2022-07-13,NEWLY_RAP_BOUND,,Assessment of frailty and biological age using multi-modal deep learning,1,2,1,2,2025-12-02,2025-12-02-uk-biobank,lineage_iff-0303_ukbb_risk; lineage_yayapa_ukbb_risk,https://github.com/IFF-0303/ukbb_risk; https://github.com/yayapa/ukbb_risk,A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION,confirmed; probable,available_notice_lineage_evidence
