model,window,n_months,seasonality,inference,term,estimate,std_error,p_value,ci_low,ci_high,economic_interpretation
Linear segmented ITS,2019-2025,84,month-of-year FE,OLS Newey-West HAC lag 3,PostJuly2024,-1.091,29.611,0.9706,-59.129,56.947,"At the July 2024 breakpoint, the fitted series shifts by 1.1 fewer recorded starts per month, conditional on linear trend and month-of-year FE (95% CI -59.1 to 56.9); the interval is wide, so this is not a precise stand-alone estimate of the interruption."
Linear segmented ITS,2019-2025,84,month-of-year FE,OLS Newey-West HAC lag 3,TimeAfterJuly2024,5.977,2.686,0.0260,0.713,11.241,"After July 2024, the monthly trajectory changes by 6.0 starts per month relative to the pre-transition slope (95% CI 0.7 to 11.2). By the final month of the window, this implies a fitted slope component 107.6 starts per month higher than a parallel continuation of the pre-transition slope."
Poisson QMLE segmented ITS,2019-2025,84,month-of-year FE,Poisson QMLE Newey-West HAC lag 3; Pearson dispersion 12.04,PostJuly2024,0.091,0.359,0.8003,-0.614,0.795,"Poisson QMLE translates the immediate level shift into a rate ratio of 1.10, or 9.5% relative to the fitted pre-transition rate (95% CI -45.9% to 121.6%)."
Poisson QMLE segmented ITS,2019-2025,84,month-of-year FE,Poisson QMLE Newey-West HAC lag 3; Pearson dispersion 12.04,TimeAfterJuly2024,0.051,0.032,0.1035,-0.010,0.113,"Poisson QMLE translates the slope change into about 5.3% per post-transition month (95% CI -1.0% to 12.0%). Over 18 post-transition months, the slope component compounds to a rate ratio of 2.52."
Linear segmented ITS,2021-2025,60,month-of-year FE,OLS Newey-West HAC lag 3,PostJuly2024,0.918,27.216,0.9731,-52.426,54.262,"At the July 2024 breakpoint, the fitted series shifts by 0.9 more recorded starts per month, conditional on linear trend and month-of-year FE (95% CI -52.4 to 54.3); the interval is wide, so this is not a precise stand-alone estimate of the interruption."
Linear segmented ITS,2021-2025,60,month-of-year FE,OLS Newey-West HAC lag 3,TimeAfterJuly2024,5.900,2.698,0.0288,0.611,11.188,"After July 2024, the monthly trajectory changes by 5.9 starts per month relative to the pre-transition slope (95% CI 0.6 to 11.2). By the final month of the window, this implies a fitted slope component 106.2 starts per month higher than a parallel continuation of the pre-transition slope."
Poisson QMLE segmented ITS,2021-2025,60,month-of-year FE,Poisson QMLE Newey-West HAC lag 3; Pearson dispersion 15.82,PostJuly2024,0.133,0.326,0.6836,-0.506,0.771,"Poisson QMLE translates the immediate level shift into a rate ratio of 1.14, or 14.2% relative to the fitted pre-transition rate (95% CI -39.7% to 116.2%)."
Poisson QMLE segmented ITS,2021-2025,60,month-of-year FE,Poisson QMLE Newey-West HAC lag 3; Pearson dispersion 15.82,TimeAfterJuly2024,0.050,0.032,0.1113,-0.012,0.112,"Poisson QMLE translates the slope change into about 5.1% per post-transition month (95% CI -1.2% to 11.9%). Over 18 post-transition months, the slope component compounds to a rate ratio of 2.47."
Linear segmented ITS,2022-2025,48,month-of-year FE,OLS Newey-West HAC lag 3,PostJuly2024,6.399,26.947,0.8123,-46.418,59.215,"At the July 2024 breakpoint, the fitted series shifts by 6.4 more recorded starts per month, conditional on linear trend and month-of-year FE (95% CI -46.4 to 59.2); the interval is wide, so this is not a precise stand-alone estimate of the interruption."
Linear segmented ITS,2022-2025,48,month-of-year FE,OLS Newey-West HAC lag 3,TimeAfterJuly2024,6.394,2.812,0.0230,0.883,11.904,"After July 2024, the monthly trajectory changes by 6.4 starts per month relative to the pre-transition slope (95% CI 0.9 to 11.9). By the final month of the window, this implies a fitted slope component 115.1 starts per month higher than a parallel continuation of the pre-transition slope."
Poisson QMLE segmented ITS,2022-2025,48,month-of-year FE,Poisson QMLE Newey-West HAC lag 3; Pearson dispersion 18.09,PostJuly2024,0.232,0.320,0.4678,-0.395,0.860,"Poisson QMLE translates the immediate level shift into a rate ratio of 1.26, or 26.2% relative to the fitted pre-transition rate (95% CI -32.6% to 136.3%)."
Poisson QMLE segmented ITS,2022-2025,48,month-of-year FE,Poisson QMLE Newey-West HAC lag 3; Pearson dispersion 18.09,TimeAfterJuly2024,0.058,0.033,0.0792,-0.007,0.122,"Poisson QMLE translates the slope change into about 5.9% per post-transition month (95% CI -0.7% to 13.0%). Over 18 post-transition months, the slope component compounds to a rate ratio of 2.82."
