app_id,is_exact_duplicate_of_first_seen,title,pi,institution,notes
14801,True,Social isolation and health - what are the mechanisms?,Professor Marko Elovainio,University of Helsinki,"According to the loneliness model of Cacioppo, lonely individuals would (1) engage in poorer health behaviours than others, (2) show altered cardiovascular activation, (3) show chronically elevated levels of hypothalamic pituitary adrenocortical activation, and thus lower glucose tolerance, diminished cortisol regulation, poor sleep and decreased cognitive performance, and (4) report more frequent mental health problems. All these four factors are risk factors for increased cardiovascular diseases, diabetes and mortality. This research projects aims to investigate the association between social isolation and health and test whether pathways including health behaviours, physiological factors, mental health and socioeconomic position would explain the associations Study aims to provide knowledge how social isolation affects health, which will help to create better prevention programs to heal individuals who are socially isolated. We will define ?social isolation? based on the following UK Biobank questions: An individual will be defined as ?socially isolated? if he/she lives alone, doesn?t participate in any social activities and can rarely confide to other people. The primary analyses will be performed on all-cause mortality and incidence of major diseases (e.g., coronary heart disease, stroke, cancer and diabetes). In secondary analyses, we will examine whether loneliness is linked with health outcomes (cardiovascular heart disease, diabetes and mortality) through pathways suggested by the loneliness model, including behavioural risks (drinking, smoking, physical activity and diet), physiological risks (blood pressure, obesity, handgrip cholesterol, sleep), mental health (depression and anxiety) and socioeconomic position (education, employment status, income). Tested using hierarchical regression models, structural equation modeling and bootstrap-models. Full cohort will be used."
14801,True,Social isolation and health - what are the mechanisms?,Professor Marko Elovainio,University of Helsinki,"According to the loneliness model of Cacioppo, lonely individuals would (1) engage in poorer health behaviours than others, (2) show altered cardiovascular activation, (3) show chronically elevated levels of hypothalamic pituitary adrenocortical activation, and thus lower glucose tolerance, diminished cortisol regulation, poor sleep and decreased cognitive performance, and (4) report more frequent mental health problems. All these four factors are risk factors for increased cardiovascular diseases, diabetes and mortality. This research projects aims to investigate the association between social isolation and health and test whether pathways including health behaviours, physiological factors, mental health and socioeconomic position would explain the associations Study aims to provide knowledge how social isolation affects health, which will help to create better prevention programs to heal individuals who are socially isolated. We will define ?social isolation? based on the following UK Biobank questions: An individual will be defined as ?socially isolated? if he/she lives alone, doesn?t participate in any social activities and can rarely confide to other people. The primary analyses will be performed on all-cause mortality and incidence of major diseases (e.g., coronary heart disease, stroke, cancer and diabetes). In secondary analyses, we will examine whether loneliness is linked with health outcomes (cardiovascular heart disease, diabetes and mortality) through pathways suggested by the loneliness model, including behavioural risks (drinking, smoking, physical activity and diet), physiological risks (blood pressure, obesity, handgrip cholesterol, sleep), mental health (depression and anxiety) and socioeconomic position (education, employment status, income). Tested using hierarchical regression models, structural equation modeling and bootstrap-models. Full cohort will be used."
14801,True,Social isolation and health - what are the mechanisms?,Professor Marko Elovainio,University of Helsinki,"According to the loneliness model of Cacioppo, lonely individuals would (1) engage in poorer health behaviours than others, (2) show altered cardiovascular activation, (3) show chronically elevated levels of hypothalamic pituitary adrenocortical activation, and thus lower glucose tolerance, diminished cortisol regulation, poor sleep and decreased cognitive performance, and (4) report more frequent mental health problems. All these four factors are risk factors for increased cardiovascular diseases, diabetes and mortality. This research projects aims to investigate the association between social isolation and health and test whether pathways including health behaviours, physiological factors, mental health and socioeconomic position would explain the associations Study aims to provide knowledge how social isolation affects health, which will help to create better prevention programs to heal individuals who are socially isolated. We will define ?social isolation? based on the following UK Biobank questions: An individual will be defined as ?socially isolated? if he/she lives alone, doesn?t participate in any social activities and can rarely confide to other people. The primary analyses will be performed on all-cause mortality and incidence of major diseases (e.g., coronary heart disease, stroke, cancer and diabetes). In secondary analyses, we will examine whether loneliness is linked with health outcomes (cardiovascular heart disease, diabetes and mortality) through pathways suggested by the loneliness model, including behavioural risks (drinking, smoking, physical activity and diet), physiological risks (blood pressure, obesity, handgrip cholesterol, sleep), mental health (depression and anxiety) and socioeconomic position (education, employment status, income). Tested using hierarchical regression models, structural equation modeling and bootstrap-models. Full cohort will be used."
14801,True,Social isolation and health - what are the mechanisms?,Professor Marko Elovainio,University of Helsinki,"According to the loneliness model of Cacioppo, lonely individuals would (1) engage in poorer health behaviours than others, (2) show altered cardiovascular activation, (3) show chronically elevated levels of hypothalamic pituitary adrenocortical activation, and thus lower glucose tolerance, diminished cortisol regulation, poor sleep and decreased cognitive performance, and (4) report more frequent mental health problems. All these four factors are risk factors for increased cardiovascular diseases, diabetes and mortality. This research projects aims to investigate the association between social isolation and health and test whether pathways including health behaviours, physiological factors, mental health and socioeconomic position would explain the associations Study aims to provide knowledge how social isolation affects health, which will help to create better prevention programs to heal individuals who are socially isolated. We will define ?social isolation? based on the following UK Biobank questions: An individual will be defined as ?socially isolated? if he/she lives alone, doesn?t participate in any social activities and can rarely confide to other people. The primary analyses will be performed on all-cause mortality and incidence of major diseases (e.g., coronary heart disease, stroke, cancer and diabetes). In secondary analyses, we will examine whether loneliness is linked with health outcomes (cardiovascular heart disease, diabetes and mortality) through pathways suggested by the loneliness model, including behavioural risks (drinking, smoking, physical activity and diet), physiological risks (blood pressure, obesity, handgrip cholesterol, sleep), mental health (depression and anxiety) and socioeconomic position (education, employment status, income). Tested using hierarchical regression models, structural equation modeling and bootstrap-models. Full cohort will be used."
14801,True,Social isolation and health - what are the mechanisms?,Professor Marko Elovainio,University of Helsinki,"According to the loneliness model of Cacioppo, lonely individuals would (1) engage in poorer health behaviours than others, (2) show altered cardiovascular activation, (3) show chronically elevated levels of hypothalamic pituitary adrenocortical activation, and thus lower glucose tolerance, diminished cortisol regulation, poor sleep and decreased cognitive performance, and (4) report more frequent mental health problems. All these four factors are risk factors for increased cardiovascular diseases, diabetes and mortality. This research projects aims to investigate the association between social isolation and health and test whether pathways including health behaviours, physiological factors, mental health and socioeconomic position would explain the associations Study aims to provide knowledge how social isolation affects health, which will help to create better prevention programs to heal individuals who are socially isolated. We will define ?social isolation? based on the following UK Biobank questions: An individual will be defined as ?socially isolated? if he/she lives alone, doesn?t participate in any social activities and can rarely confide to other people. The primary analyses will be performed on all-cause mortality and incidence of major diseases (e.g., coronary heart disease, stroke, cancer and diabetes). In secondary analyses, we will examine whether loneliness is linked with health outcomes (cardiovascular heart disease, diabetes and mortality) through pathways suggested by the loneliness model, including behavioural risks (drinking, smoking, physical activity and diet), physiological risks (blood pressure, obesity, handgrip cholesterol, sleep), mental health (depression and anxiety) and socioeconomic position (education, employment status, income). Tested using hierarchical regression models, structural equation modeling and bootstrap-models. Full cohort will be used."
162275,True,"The risk of cardiac-cerebral vascular diseases: unravelling the interplay of lifestyle, environmental exposures, and genetics",,Huazhong University of Science and Technology,"1 Aims Our research project is dedicated to unravelling the intricate relationships between genetics, lifestyle, and the environment in shaping health outcomes, with a specific focus on cardiac-cerebral vascular diseases. We aim to understand why some individuals are more resilient to these diseases than others and why certain groups are disproportionately affected. Our primary objective is to provide personalized health guidance based on these insights, improving the prevention and management of cardiac-cerebral vascular diseases. Cardiac-cerebral vascular diseases are multifaceted conditions influenced by a web of factors, encompassing our genes, lifestyle choices, and surrounding environment. By amassing data from a diverse and extensive cohort of individuals, we aspire to illuminate the interconnectedness of these factors. Through a comprehensive examination of these components, our goal is to identify the most effective strategies for achieving and sustaining cardiac-cerebral vascular and cerebral health. This project is expected to span a duration of three years. The impact of this work is far-reaching and multifaceted, contributing to public health in several key ways: 4.1 Personalized health advice Our research will empower the development of personalized health recommendations based on an individual's genetic profile. This will enable people to make informed choices for their well-being, particularly in the context of cardiac-cerebral vascular diseases. 4.2 Healthier environments Findings from our research will inform initiatives aimed at creating cleaner and safer living environments. This broader impact on environmental health will enhance public well-being. 4.3 Health awareness If certain habits or factors are identified as detrimental to health, our research will raise awareness, prompting individuals to make healthier choices and reducing the burden of cardiac-cerebral vascular diseases. In summary, this research holds great promise for improving public health, advancing personalized medicine, informing environmental policies, and fostering a broader understanding of how lifestyle, environment, and genetics collectively influence cardiac-cerebral vascular diseases. Ultimately, this research project has the potential to enhance the well-being of individuals and communities, addressing a key public interest requirement for better cardiac-cerebral vascular health and a healthier society."
162275,True,"The risk of cardiac-cerebral vascular diseases: unravelling the interplay of lifestyle, environmental exposures, and genetics",,Huazhong University of Science and Technology,"1 Aims Our research project is dedicated to unravelling the intricate relationships between genetics, lifestyle, and the environment in shaping health outcomes, with a specific focus on cardiac-cerebral vascular diseases. We aim to understand why some individuals are more resilient to these diseases than others and why certain groups are disproportionately affected. Our primary objective is to provide personalized health guidance based on these insights, improving the prevention and management of cardiac-cerebral vascular diseases. Cardiac-cerebral vascular diseases are multifaceted conditions influenced by a web of factors, encompassing our genes, lifestyle choices, and surrounding environment. By amassing data from a diverse and extensive cohort of individuals, we aspire to illuminate the interconnectedness of these factors. Through a comprehensive examination of these components, our goal is to identify the most effective strategies for achieving and sustaining cardiac-cerebral vascular and cerebral health. This project is expected to span a duration of three years. The impact of this work is far-reaching and multifaceted, contributing to public health in several key ways: 4.1 Personalized health advice Our research will empower the development of personalized health recommendations based on an individual's genetic profile. This will enable people to make informed choices for their well-being, particularly in the context of cardiac-cerebral vascular diseases. 4.2 Healthier environments Findings from our research will inform initiatives aimed at creating cleaner and safer living environments. This broader impact on environmental health will enhance public well-being. 4.3 Health awareness If certain habits or factors are identified as detrimental to health, our research will raise awareness, prompting individuals to make healthier choices and reducing the burden of cardiac-cerebral vascular diseases. In summary, this research holds great promise for improving public health, advancing personalized medicine, informing environmental policies, and fostering a broader understanding of how lifestyle, environment, and genetics collectively influence cardiac-cerebral vascular diseases. Ultimately, this research project has the potential to enhance the well-being of individuals and communities, addressing a key public interest requirement for better cardiac-cerebral vascular health and a healthier society."
162275,True,"The risk of cardiac-cerebral vascular diseases: unravelling the interplay of lifestyle, environmental exposures, and genetics",,Huazhong University of Science and Technology,"1 Aims Our research project is dedicated to unravelling the intricate relationships between genetics, lifestyle, and the environment in shaping health outcomes, with a specific focus on cardiac-cerebral vascular diseases. We aim to understand why some individuals are more resilient to these diseases than others and why certain groups are disproportionately affected. Our primary objective is to provide personalized health guidance based on these insights, improving the prevention and management of cardiac-cerebral vascular diseases. Cardiac-cerebral vascular diseases are multifaceted conditions influenced by a web of factors, encompassing our genes, lifestyle choices, and surrounding environment. By amassing data from a diverse and extensive cohort of individuals, we aspire to illuminate the interconnectedness of these factors. Through a comprehensive examination of these components, our goal is to identify the most effective strategies for achieving and sustaining cardiac-cerebral vascular and cerebral health. This project is expected to span a duration of three years. The impact of this work is far-reaching and multifaceted, contributing to public health in several key ways: 4.1 Personalized health advice Our research will empower the development of personalized health recommendations based on an individual's genetic profile. This will enable people to make informed choices for their well-being, particularly in the context of cardiac-cerebral vascular diseases. 4.2 Healthier environments Findings from our research will inform initiatives aimed at creating cleaner and safer living environments. This broader impact on environmental health will enhance public well-being. 4.3 Health awareness If certain habits or factors are identified as detrimental to health, our research will raise awareness, prompting individuals to make healthier choices and reducing the burden of cardiac-cerebral vascular diseases. In summary, this research holds great promise for improving public health, advancing personalized medicine, informing environmental policies, and fostering a broader understanding of how lifestyle, environment, and genetics collectively influence cardiac-cerebral vascular diseases. Ultimately, this research project has the potential to enhance the well-being of individuals and communities, addressing a key public interest requirement for better cardiac-cerebral vascular health and a healthier society."
1065151,True,Genomic Support for Immunometabolic Target Validation in Autoimmune Drug Discovery,,Meta Pharmaceuticals (HK) Limited,"Our company focuses on discovering novel therapeutic targets within the immunometabolic network to improve treatment strategies for autoimmune diseases. We aim to identify regulatory nodes in complex metabolic pathways that drive immune cell dysfunction in conditions such as psoriasis, rheumatoid arthritis, and inflammatory bowel disease. Through transcriptomic and metabolomic analyses of publicly available autoimmune disease datasets, we have observed preliminary evidence of altered immunometabolic networks in patient-derived immune cells. These findings suggest potential intervention points that may be leveraged for therapeutic development. To further validate and expand these observations, we propose to integrate UK Biobank's large-scale genomic and phenotypic datasets-specifically GWAS and eQTL data-to: This project will provide critical human genetic evidence to support our ongoing research into immunometabolic mechanisms and accelerate the discovery of precision therapies for autoimmune diseases."
1065151,True,Genomic Support for Immunometabolic Target Validation in Autoimmune Drug Discovery,,Meta Pharmaceuticals (HK) Limited,"Our company focuses on discovering novel therapeutic targets within the immunometabolic network to improve treatment strategies for autoimmune diseases. We aim to identify regulatory nodes in complex metabolic pathways that drive immune cell dysfunction in conditions such as psoriasis, rheumatoid arthritis, and inflammatory bowel disease. Through transcriptomic and metabolomic analyses of publicly available autoimmune disease datasets, we have observed preliminary evidence of altered immunometabolic networks in patient-derived immune cells. These findings suggest potential intervention points that may be leveraged for therapeutic development. To further validate and expand these observations, we propose to integrate UK Biobank's large-scale genomic and phenotypic datasets-specifically GWAS and eQTL data-to: This project will provide critical human genetic evidence to support our ongoing research into immunometabolic mechanisms and accelerate the discovery of precision therapies for autoimmune diseases."
