application_id,application_title,project_start_date,project_start_month,project_start_year,post_july2024,linkage_confidence,linked_lineage_count,linked_repo_count,linked_notice_count,evidence_grades
10035,Risk factors and associated causal pathways linked to blood pressure,2017-03-16,2017-03,2017,0,archived_broad_48; final_expanded,1,0,0,
10279,The relationship of cognitive function and negative emotions with morbidity and mortality: an aetiological investigation,2015-04-01,2015-04,2015,0,archived_broad_48; final_expanded,1,0,0,
12184,"Type 2 diabetes, physical activity, sedentary behaviour and sleep.",2015-03-23,2015-03,2015,0,archived_broad_48; final_expanded,1,0,0,
17984,Genotype-environment interactions and sub-classification of disease,2016-03-01,2016-03,2016,0,final_expanded,1,1,1,C; author/project/topic consistency plus public UKB project evidence
19136,Lung Health: Genes and environment,2016-05-01,2016-05,2016,0,archived_broad_48; final_expanded,1,0,0,
19526,Phenomewide scan of gene level associations,2016-04-30,2016-04,2016,0,strict_21; main_27; archived_broad_48; final_expanded,3,3,1,B1_AUTHOR_LAB_PROJECT_NAME_TOPIC_CONSISTENCY; B2_PROJECT_FAMILY_NAME_PROPAGATION
19542,Identifying multi-level biomarkers and disease mechanisms for major mental disorders,2016-10-01,2016-10,2016,0,strict_21; main_27; archived_broad_48; final_expanded,3,3,2,A1_DIRECT_APP_ID; B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION; C; paper text/application chain to an existing baseline app
22224,Prospective studies of ageing and age-related diseases,2016-11-01,2016-11,2016,0,archived_broad_48; final_expanded,1,0,0,
23668,Genetic and environmental factors including nutritional and lifestyle influences on neurodevelopmental disorders/traits (including impulsivity/compulsivity) and their brain correlates,2019-07-29,2019-07,2019,0,archived_broad_48; final_expanded,1,0,0,
24247,Searching Identity-by-descent segments in biobank-scale cohorts,2016-12-15,2016-12,2016,0,archived_broad_48; final_expanded,1,0,0,
27837,Statistical Methods for Large Scale Genetic Studies,2017-08-14,2017-08,2017,0,main_27; archived_broad_48; final_expanded,1,0,0,
28784,A statistical framework for personalized nutrition recommendations based on genetic and anthropometric data.,2017-07-01,2017-07,2017,0,strict_21; main_27; archived_broad_48; final_expanded,2,2,1,A1_DIRECT_APP_ID; B2_PROJECT_FAMILY_NAME_PROPAGATION
30418,Biomarker profiling by NMR metabolomics for the study of chronic disease risk and underlying risk factors,2018-08-06,2018-08,2018,0,main_27; archived_broad_48; final_expanded,1,0,0,
31063,Methodological extensions to estimate genetic heritability and shared risk factors for phenotypes of the UK Biobank,2017-10-01,2017-10,2017,0,archived_broad_48; final_expanded,1,0,0,
33923,Genetic risk prediction and variance in diverse populations,2018-04-06,2018-04,2018,0,strict_21; main_27; archived_broad_48; final_expanded,1,0,0,
40161,Application of deep learning for the characterisation of motion patterns in the heart,2018-09-05,2018-09,2018,0,archived_broad_48; final_expanded,1,0,0,
45761,Genetics of cancer risk and therapy response,2019-05-07,2019-05,2019,0,strict_21; main_27; archived_broad_48; final_expanded,2,2,1,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; B1_AUTHOR_LAB_PROJECT_NAME_TOPIC_CONSISTENCY
46122,Characterizing the contribution of short tandem repeats to human phenotypes.,2019-04-10,2019-04,2019,0,archived_broad_48; final_expanded,1,0,0,
47267,Cross-diagnostic and cross-platform multimodal analysis of UK Biobank imaging data,2019-03-25,2019-03,2019,0,strict_21; main_27; archived_broad_48; final_expanded,2,2,2,A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; C; repo-publication-application chain to an existing baseline app
