classification,app_id,project_start_date,confidence,already_rap_modalities,legacy_route_modalities,ambiguous_modality_signals,schema27_title,source_text_evidence,website_url
ALREADY_RAP_BOUND,7089,2015-01-01,HIGH,WES,,GENERIC_GENETIC_LANGUAGE|GENERIC_SEQUENCE_LANGUAGE,Exome Sequencing of All Premature Coronary Artery Disease Participants in UK Biobank,"WES [schema27_title]: Exome Sequencing of All Premature Coronary Artery Disease Participants in UK Biobank || GENERIC_GENETIC_LANGUAGE [schema27_notes]: ...ipants with and without CAD. Successful completion of this study should result in the identification of novel genetic causes for MI, the leading cause of death in the UK. Genomic variation discovered in the UK Biobank associate... || GENERIC_SEQUENCE_LANGUAGE [schema27_title]: Exome Sequencing of All Premature Coronary Artery Disease Participants in UK Biobank",https://www.ukbiobank.ac.uk/projects/exome-sequencing-of-all-premature-coronary-artery-disease-participants-in-uk-biobank/
ALREADY_RAP_BOUND,53279,2019-12-23,HIGH,WES,,GENERIC_SEQUENCE_LANGUAGE|PHYSICAL_SAMPLE_OR_EXTERNAL_ASSAY_LANGUAGE,Prediction of the tumor mutation burden and its predictive value in UK biobank cancer patients: using machine learning algorithm,"WES [schema27_notes]: ...were associated with the response of the immunotherapy. Mutational profile can be acquired through UK Biobank whole-exome sequencing data in cancer patients, and can be analyzed effectively by using machine learning algorithm. We will eval... || GENERIC_SEQUENCE_LANGUAGE [schema27_notes]: ...ted with the response of the immunotherapy. Mutational profile can be acquired through UK Biobank whole-exome sequencing data in cancer patients, and can be analyzed effectively by using machine learning algorithm. We will evaluat... || PHYSICAL_SAMPLE_OR_EXTERNAL_ASSAY_LANGUAGE [schema27_notes]: ...se of immunotherapy. Several researches reported that mutational profile derived from primary tumor tissue or blood samples were associated with the response of the immunotherapy. Mutational profile can be acquired through UK Biobank...",https://www.ukbiobank.ac.uk/projects/prediction-of-the-tumor-mutation-burden-and-its-predictive-value-in-uk-biobank-cancer-patients-using-machine-learning-algorithm/
ALREADY_RAP_BOUND,58864,2020-04-20,HIGH,WGS,,GENERIC_GENETIC_LANGUAGE|GENERIC_SEQUENCE_LANGUAGE,Monitoring tumour burden in circulating free DNA by low coverage whole genome sequencing,WGS [schema27_title]: Monitoring tumour burden in circulating free DNA by low coverage whole genome sequencing || GENERIC_GENETIC_LANGUAGE [schema27_title]: Monitoring tumour burden in circulating free DNA by low coverage whole genome sequencing || GENERIC_SEQUENCE_LANGUAGE [schema27_title]: Monitoring tumour burden in circulating free DNA by low coverage whole genome sequencing,https://www.ukbiobank.ac.uk/projects/monitoring-tumour-burden-in-circulating-free-dna-by-low-coverage-whole-genome-sequencing/
ALREADY_RAP_BOUND,82590,2022-06-07,HIGH,WES|WGS,,GENERIC_GENETIC_LANGUAGE|GENERIC_SEQUENCE_LANGUAGE,Elucidating the Genetic Landscape of Frontotemporal Dementia (FTD) and Parkinson's Disease (PD),WGS [schema27_notes]: ...uses warrants further investigation of discovering novel FTD and PD genes. Whole-exome/genome sequencing (WES/WGS) allows the systematic analyses of genetic variants to identify (rare) causative mutations and to investigate... || WES [schema27_notes]: ...c causes warrants further investigation of discovering novel FTD and PD genes. Whole-exome/genome sequencing (WES/WGS) allows the systematic analyses of genetic variants to identify (rare) causative mutations and to investi... || GENERIC_GENETIC_LANGUAGE [schema27_title]: Elucidating the Genetic Landscape of Frontotemporal Dementia (FTD) and Parkinson's Disease (PD) || GENERIC_SEQUENCE_LANGUAGE [schema27_notes]: ...known genetic causes warrants further investigation of discovering novel FTD and PD genes. Whole-exome/genome sequencing (WES/WGS) allows the systematic analyses of genetic variants to identify (rare) causative mutations and to in...,https://www.ukbiobank.ac.uk/projects/elucidating-the-genetic-landscape-of-frontotemporal-dementia-ftd-and-parkinsons-disease-pd/
ALREADY_RAP_BOUND,62824,2020-08-19,MEDIUM,OMOP_RAP_ONLY,,,UK Biobank OMOP based analyses (including COVID-19 network study),OMOP_RAP_ONLY [schema27_title]: UK Biobank OMOP based analyses (including COVID-19 network study),https://www.ukbiobank.ac.uk/projects/uk-biobank-omop-based-analyses-including-covid-19-network-study/
ALREADY_RAP_BOUND,62905,2020-07-27,HIGH,WES,,GENERIC_GENETIC_LANGUAGE|GENERIC_SEQUENCE_LANGUAGE,"Analyzing unmappable (""camouflaged"") genome regions in UK Biobank exome sequencing data using the LPA gene as a model.","WES [schema27_title]: Analyzing unmappable (""camouflaged"") genome regions in UK Biobank exome sequencing data using the LPA gene as a model. || GENERIC_GENETIC_LANGUAGE [schema27_title]: Analyzing unmappable (""camouflaged"") genome regions in UK Biobank exome sequencing data using the LPA gene as a model. || GENERIC_SEQUENCE_LANGUAGE [schema27_title]: Analyzing unmappable (""camouflaged"") genome regions in UK Biobank exome sequencing data using the LPA gene as a model.",https://www.ukbiobank.ac.uk/projects/analyzing-unmappable-camouflaged-genome-regions-in-uk-biobank-exome-sequencing-data-using-the-lpa-gene-as-a-model/
ALREADY_RAP_BOUND,60111,2020-08-17,HIGH,WES,,GENERIC_GENETIC_LANGUAGE|GENERIC_SEQUENCE_LANGUAGE,Using whole exome sequencing to identify rare functional variants of severe neurological disorders,WES [schema27_title]: Using whole exome sequencing to identify rare functional variants of severe neurological disorders || GENERIC_GENETIC_LANGUAGE [schema27_title]: Using whole exome sequencing to identify rare functional variants of severe neurological disorders || GENERIC_SEQUENCE_LANGUAGE [schema27_title]: Using whole exome sequencing to identify rare functional variants of severe neurological disorders,https://www.ukbiobank.ac.uk/projects/using-whole-exome-sequencing-to-identify-rare-functional-variants-of-severe-neurological-disorders/
ALREADY_RAP_BOUND,62659,2021-01-11,HIGH,WES,,GENERIC_GENETIC_LANGUAGE|GENERIC_SEQUENCE_LANGUAGE,Co-analysis of the International Mouse Phenotyping Consortium (IMPC) data and the UK Biobank exome sequencing and blood screen data to identify gene-phenotype associations,WES [schema27_title]: Co-analysis of the International Mouse Phenotyping Consortium (IMPC) data and the UK Biobank exome sequencing and blood screen data to identify gene-phenotype associations || GENERIC_GENETIC_LANGUAGE [schema27_title]: ...ouse Phenotyping Consortium (IMPC) data and the UK Biobank exome sequencing and blood screen data to identify gene-phenotype associations || GENERIC_SEQUENCE_LANGUAGE [schema27_title]: Co-analysis of the International Mouse Phenotyping Consortium (IMPC) data and the UK Biobank exome sequencing and blood screen data to identify gene-phenotype associations,https://www.ukbiobank.ac.uk/projects/co-analysis-of-the-international-mouse-phenotyping-consortium-impc-data-and-the-uk-biobank-exome-sequencing-and-blood-screen-data-to-identify-gene-phenotype-associations/
NEWLY_RAP_BOUND,289,2012-07-01,HIGH,,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,,Development of normative values for hand grip strength,"QUESTIONNAIRES_ASSESSMENT [schema27_notes]: ...ghout the world. This project requires the use of baseline data on hand grip strength, impedance measures and self-reported illness in the full cohort. || PHYSICAL_MEASURES [schema27_title]: Development of normative values for hand grip strength",https://www.ukbiobank.ac.uk/projects/development-of-normative-values-for-hand-grip-strength/
NEWLY_RAP_BOUND,291,2012-09-01,HIGH,,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,,Multimorbidity in participants with and without COPD,"QUESTIONNAIRES_ASSESSMENT [schema27_notes]: ...ects with and without COPD. The UK Biobank data gives the opportunity to combine information on objective and self-reported morbidities. Moreover, the clinical impact of these multi-morbidity clusters have never been studied in COP... || PHYSICAL_MEASURES [schema27_notes]: ...ality. This project requires baseline data on the full cohort for self-reported illnesses, lifestyle factors, blood pressure, arterial stiffness, body impedance measures and spirometry. Data on death and hospital admissions will be re...",https://www.ukbiobank.ac.uk/projects/multimorbidity-in-participants-with-and-without-copd/
