app_id,schema27_title,schema27_institution,schema27_pi,start_date,website_url,website_match_status,website_match_count,match_methods
132,Prevalence of stroke and identification of associated risk factors,Western Infirmary,Dr Jonathan Hewitt,2012-08-31,https://www.ukbiobank.ac.uk/projects/prevalence-of-stroke-and-identification-of-associated-risk-factors/,matched_one_website_record,1,unique_normalized_title
166,"Population burden of diease of hearing disability, visual impairement and dual-sensory impairment amoung UK adults aged 40 - 69 years",University of Manchester,Dr Piers Dawes,2012-09-30,https://www.ukbiobank.ac.uk/projects/population-burden-of-diease-of-hearing-disability-visual-impairement-and-dual-sensory-impairment-amoung-uk-adults-aged-40-69-years/,matched_one_website_record,1,unique_normalized_title
178,Occupational risk factors for Chronic Obstructive Pulmonary Disease,Imperial College London,Dr Lesley Rushton,2012-10-01,https://www.ukbiobank.ac.uk/projects/occupational-risk-factors-for-chronic-obstructive-pulmonary-disease/,matched_one_website_record,1,unique_normalized_title
236,Genome-wide association study of blood pressure.,Imperial College London,Professor Paul Elliott,2015-07-01,https://www.ukbiobank.ac.uk/projects/genome-wide-association-study-of-blood-pressure/,matched_one_website_record,1,unique_normalized_title
262,Associations between moderate to vigorous physical exercise and sedentary behaviour and arterial stiffness and blood pressure in UK adults,University of Cambridge,Dr Soren Brage,2013-12-01,https://www.ukbiobank.ac.uk/projects/associations-between-moderate-to-vigorous-physical-exercise-and-sedentary-behaviour-and-arterial-stiffness-and-blood-pressure-in-uk-adults/,matched_one_website_record,1,unique_normalized_title
270,Development of BMI specific cut offs for fat free mass index,CIRO+,Dr Martijn Spruit,2012-06-01,https://www.ukbiobank.ac.uk/projects/development-of-bmi-specific-cut-offs-for-fat-free-mass-index/,matched_one_website_record,1,unique_normalized_title
289,Development of normative values for hand grip strength,CIRO+,Dr Martijn Spruit,2012-07-01,https://www.ukbiobank.ac.uk/projects/development-of-normative-values-for-hand-grip-strength/,matched_one_website_record,1,unique_normalized_title
291,Multimorbidity in participants with and without COPD,CIRO+,Dr Martijn Spruit,2012-09-01,https://www.ukbiobank.ac.uk/projects/multimorbidity-in-participants-with-and-without-copd/,matched_one_website_record,1,unique_normalized_title
338,Using the Vascular Assessment and Measurement Platform for Images of the Retina (VAMPIRE) to derive retinal outcomes,University of Edinburgh,Dr Thomas MacGillivray,2013-04-15,https://www.ukbiobank.ac.uk/projects/using-the-vascular-assessment-and-measurement-platform-for-images-of-the-retina-vampire-to-derive-retinal-outcomes/,matched_one_website_record,1,unique_normalized_title
408,Derivation of fitness indicators and their relation with hemodynamic factors,University of Cambridge,Dr Soren Brage,2013-12-01,https://www.ukbiobank.ac.uk/projects/derivation-of-fitness-indicators-and-their-relation-with-hemodynamic-factors/,matched_one_website_record,1,unique_normalized_title
412,Lung function and its association with fatal and non-fatal outcomes,"City St George's, University of London",Professor David Strachan,2012-10-01,https://www.ukbiobank.ac.uk/projects/lung-function-and-its-association-with-fatal-and-non-fatal-outcomes/,matched_one_website_record,1,unique_normalized_title
431,"Association between shift work and cancer, vascular disease and other diseases",University of Oxford,Dr Ruth Travis,2013-06-30,https://www.ukbiobank.ac.uk/projects/association-between-shift-work-and-cancer-vascular-disease-and-other-diseases/,matched_one_website_record,1,unique_normalized_title
