term_id,term_or_expression,regex,underlying_data_modality_or_product,why_it_implies_pre_policy_rap_exposure,official_ukb_source,official_evidence,effective_date,evidence_strength,used_in_layers
C0_CURRENT_STAGE3_ALREADY_RAP_BOUND,Current Stage 3 ALREADY_RAP_BOUND classification,,Existing conservative already-RAP-bound evidence,Fixed baseline supplied by the previous conservative classifier; not redefined here.,https://community.ukbiobank.ac.uk/hc/en-gb/community/posts/19996604847133-Changing-the-way-UK-Biobank-data-is-made-available-to-researchers-around-the-world,The current classifier used official UKB WGS/WES/OMOP access evidence.,fixed_C0,baseline_high_precision,C0
C1_WGS_ABBREVIATION,WGS,\bWGS\b,Whole genome sequencing data,WGS is UKB's standard abbreviation for whole genome sequencing.,https://biobank.ndph.ox.ac.uk/ukb/label.cgi?id=180,Category 180 is titled Whole genome sequences and documents the 200k and 500k WGS releases.,2021-11,high,C1|C6
C1_WES_ABBREVIATION,WES,\bWES\b,Whole exome sequencing data,WES is UKB's standard abbreviation for whole exome sequencing.,https://biobank.ndph.ox.ac.uk/ukb/label.cgi?id=170,Category 170 describes UKB whole exome sequencing (WES) and in-situ RAP access.,2021-11,high,C1|C6
C1_WHOLE_GENOME_SEQUENCE,whole genome sequencing / whole-genome sequence,whole[- ]genome sequenc(?:ing|e|ed)?,Whole genome sequencing data,The expression names the UKB WGS modality directly.,https://biobank.ndph.ox.ac.uk/ukb/label.cgi?id=180,Category 180 states that whole genome sequencing data were released in late 2021 and late 2023.,2021-11,high,C1|C6
C1_WHOLE_EXOME_SEQUENCE,whole exome sequencing / whole-exome sequence,whole[- ]exome sequenc(?:ing|e|ed)?,Whole exome sequencing data,The expression names the UKB WES modality directly.,https://biobank.ndph.ox.ac.uk/ukb/label.cgi?id=170,Category 170 states that UKB WES fields are accessed in-situ via UKB-RAP.,2021-11,high,C1|C6
C1_EXOME_SEQUENCE,exome sequencing / exome sequence,exome[- ]sequenc(?:ing|e|ed),Whole exome sequencing data,"In UKB project text, exome sequencing directly points to the WES data product.",https://biobank.ndph.ox.ac.uk/ukb/label.cgi?id=170,Category 170 is the Exome sequences category and documents WES processing and RAP access.,2021-11,high,C1|C6
C1_GENOME_SEQUENCE_DATA,genome sequence data / genomic sequence data,(?:genome|genomic)[- ]sequenc(?:ing|e|ed)? data,Whole genome sequencing data,UKB uses genomic sequence data to describe the pre-policy RAP-only sequence products.,https://community.ukbiobank.ac.uk/hc/en-gb/community/posts/19996604847133-Changing-the-way-UK-Biobank-data-is-made-available-to-researchers-around-the-world,The UKB RAP transition notice says UKB-RAP was already the only means of access to genomic sequence data.,2021,high,C1|C6
C1_EXOME_DATA,exome data / exome variants,exome (?:data|variants?),Whole exome sequencing data,Exome data and exome variants refer to the WES-derived variant data product.,https://biobank.ndph.ox.ac.uk/ukb/label.cgi?id=170,Category 170 lists population-level exome OQFE variants and exome VCF/CRAM fields.,2021-11,high,C1|C6
C1_SEQUENCED_GENOMES,sequenced genomes / sequenced exomes,sequenced (?:genomes?|exomes?),WGS/WES sequence data,The expression describes participant genomes or exomes having been sequenced.,https://biobank.ndph.ox.ac.uk/ukb/label.cgi?id=180; https://biobank.ndph.ox.ac.uk/ukb/label.cgi?id=170,UKB WGS/WES category pages describe sequenced genomes and exomes and their release tranches.,2021-11,high,C1|C6
C2_OQFE,OQFE,\bOQFE\b,Whole exome sequencing OQFE pipeline/output,OQFE is the UKB WES processing protocol and appears in exome VCF/CRAM field names.,https://biobank.ndph.ox.ac.uk/ukb/label.cgi?id=170,"Category 170 describes OQFE CRAMs, gVCFs, GLnexus, pVCF, and final exome OQFE fields.",2021-11,high,C2|C6
