app_id,start_date,policy_period,expansion_layer,previous_classification,previous_confidence,proposed_new_classification,evidence_type,evidence_source,source_timing,supporting_text_excerpt,inferred_underlying_data_product_or_rap_use,matched_term_or_expression,evidence_dictionary_term_id,confidence,manual_review_flag,manual_review_reason,source_pub_id,source_pub_date,source_doi,previous_already_rap_modalities,previous_legacy_route_modalities,schema27_title,website_url
7089,2015-01-01,before_policy,C0,ALREADY_RAP_BOUND,HIGH,CONTROL_CANDIDATE_C0,current_conservative_classifier,data/intermediate/rap_classification/stage3_project_rap_exposure_classification.csv,stage3_current_classifier,"WES [schema27_title]: Exome Sequencing of All Premature Coronary Artery Disease Participants in UK Biobank || GENERIC_GENETIC_LANGUAGE [schema27_notes]: ...ipants with and without CAD. Successful completion of this study should result in the identification of novel genetic causes for MI, the leading cause of death in the UK. Genomic variation discovered in the UK Biobank associate... || GENERIC_SEQUENCE_LANGUAGE [schema27_title]: Exome Sequencing of All Premature Coronary Artery Disease Participants in UK Biobank",WES,WES,C0_CURRENT_STAGE3_ALREADY_RAP_BOUND,HIGH_BASELINE,no,fixed_C0_baseline_from_current_classifier,,,,WES,,Exome Sequencing of All Premature Coronary Artery Disease Participants in UK Biobank,https://www.ukbiobank.ac.uk/projects/exome-sequencing-of-all-premature-coronary-artery-disease-participants-in-uk-biobank/
53279,2019-12-23,before_policy,C0,ALREADY_RAP_BOUND,HIGH,CONTROL_CANDIDATE_C0,current_conservative_classifier,data/intermediate/rap_classification/stage3_project_rap_exposure_classification.csv,stage3_current_classifier,"WES [schema27_notes]: ...were associated with the response of the immunotherapy. Mutational profile can be acquired through UK Biobank whole-exome sequencing data in cancer patients, and can be analyzed effectively by using machine learning algorithm. We will eval... || GENERIC_SEQUENCE_LANGUAGE [schema27_notes]: ...ted with the response of the immunotherapy. Mutational profile can be acquired through UK Biobank whole-exome sequencing data in cancer patients, and can be analyzed effectively by using machine learning algorithm. We will evaluat... || PHYSICAL_SAMPLE_OR_EXTERNAL_ASSAY_LANGUAGE [schema27_notes]: ...se of immunotherapy. Several researches reported that mutational profile derived from primary tumor tissue or blood samples were associated with the response of the immunotherapy. Mutational profile can be acquired through UK Biobank...",WES,WES,C0_CURRENT_STAGE3_ALREADY_RAP_BOUND,HIGH_BASELINE,no,fixed_C0_baseline_from_current_classifier,,,,WES,,Prediction of the tumor mutation burden and its predictive value in UK biobank cancer patients: using machine learning algorithm,https://www.ukbiobank.ac.uk/projects/prediction-of-the-tumor-mutation-burden-and-its-predictive-value-in-uk-biobank-cancer-patients-using-machine-learning-algorithm/
53589,2021-01-27,before_policy,C0,ALREADY_RAP_BOUND,HIGH,CONTROL_CANDIDATE_C0,current_conservative_classifier,data/intermediate/rap_classification/stage3_project_rap_exposure_classification.csv,stage3_current_classifier,"WGS [schema27_notes]: ...ank to address these questions. We anticipate that this study will take 36 months and will be updated as more whole genome sequencing data becomes available. If we find a strong association with a medical condition, it may be possible to sc... || GENERIC_GENETIC_LANGUAGE [schema27_notes]: ...we do not know if people whose genome contains HHV-6 are at increased risk of medical conditions. We will use genetic and phenotypic data collected by UK Biobank to address these questions. We anticipate that this study will ta... || GENERIC_SEQUENCE_LANGUAGE [schema27_notes]: ...s these questions. We anticipate that this study will take 36 months and will be updated as more whole genome sequencing data becomes available. If we find a strong association with a medical condition, it may be possible to scree...",WGS,WGS,C0_CURRENT_STAGE3_ALREADY_RAP_BOUND,HIGH_BASELINE,no,fixed_C0_baseline_from_current_classifier,,,,WGS,,Evolution and consequence of endogenous HHV-6,https://www.ukbiobank.ac.uk/projects/evolution-and-consequence-of-endogenous-hhv-6/
58864,2020-04-20,before_policy,C0,ALREADY_RAP_BOUND,HIGH,CONTROL_CANDIDATE_C0,current_conservative_classifier,data/intermediate/rap_classification/stage3_project_rap_exposure_classification.csv,stage3_current_classifier,WGS [schema27_title]: Monitoring tumour burden in circulating free DNA by low coverage whole genome sequencing || GENERIC_GENETIC_LANGUAGE [schema27_title]: Monitoring tumour burden in circulating free DNA by low coverage whole genome sequencing || GENERIC_SEQUENCE_LANGUAGE [schema27_title]: Monitoring tumour burden in circulating free DNA by low coverage whole genome sequencing,WGS,WGS,C0_CURRENT_STAGE3_ALREADY_RAP_BOUND,HIGH_BASELINE,no,fixed_C0_baseline_from_current_classifier,,,,WGS,,Monitoring tumour burden in circulating free DNA by low coverage whole genome sequencing,https://www.ukbiobank.ac.uk/projects/monitoring-tumour-burden-in-circulating-free-dna-by-low-coverage-whole-genome-sequencing/
59252,2021-02-08,before_policy,C0,ALREADY_RAP_BOUND,HIGH,CONTROL_CANDIDATE_C0,current_conservative_classifier,data/intermediate/rap_classification/stage3_project_rap_exposure_classification.csv,stage3_current_classifier,"WES [schema27_notes]: ...es and probably ageing. While somatic mutations in genomic DNA have been widely analyzed from whole-genome or whole-exome sequencing, those that occur in mitochondrial genome have been rarely assessed due to the technical difficulties. As... || GENERIC_GENETIC_LANGUAGE [schema27_notes]: ...the causes of many disease including cancer, complex diseases and probably ageing. While somatic mutations in genomic DNA have been widely analyzed from whole-genome or whole-exome sequencing, those that occur in mitochondrial... || GENERIC_SEQUENCE_LANGUAGE [schema27_notes]: ...bly ageing. While somatic mutations in genomic DNA have been widely analyzed from whole-genome or whole-exome sequencing, those that occur in mitochondrial genome have been rarely assessed due to the technical difficulties. As mit...",WES,WES,C0_CURRENT_STAGE3_ALREADY_RAP_BOUND,HIGH_BASELINE,no,fixed_C0_baseline_from_current_classifier,,,,WES,,Analysis of mitochondrial heteroplasmy and its association to age and health conditions,https://www.ukbiobank.ac.uk/projects/analysis-of-mitochondrial-heteroplasmy-and-its-association-to-age-and-health-conditions/
60111,2020-08-17,before_policy,C0,ALREADY_RAP_BOUND,HIGH,CONTROL_CANDIDATE_C0,current_conservative_classifier,data/intermediate/rap_classification/stage3_project_rap_exposure_classification.csv,stage3_current_classifier,WES [schema27_title]: Using whole exome sequencing to identify rare functional variants of severe neurological disorders || GENERIC_GENETIC_LANGUAGE [schema27_title]: Using whole exome sequencing to identify rare functional variants of severe neurological disorders || GENERIC_SEQUENCE_LANGUAGE [schema27_title]: Using whole exome sequencing to identify rare functional variants of severe neurological disorders,WES,WES,C0_CURRENT_STAGE3_ALREADY_RAP_BOUND,HIGH_BASELINE,no,fixed_C0_baseline_from_current_classifier,,,,WES,,Using whole exome sequencing to identify rare functional variants of severe neurological disorders,https://www.ukbiobank.ac.uk/projects/using-whole-exome-sequencing-to-identify-rare-functional-variants-of-severe-neurological-disorders/
62659,2021-01-11,before_policy,C0,ALREADY_RAP_BOUND,HIGH,CONTROL_CANDIDATE_C0,current_conservative_classifier,data/intermediate/rap_classification/stage3_project_rap_exposure_classification.csv,stage3_current_classifier,WES [schema27_title]: Co-analysis of the International Mouse Phenotyping Consortium (IMPC) data and the UK Biobank exome sequencing and blood screen data to identify gene-phenotype associations || GENERIC_GENETIC_LANGUAGE [schema27_title]: ...ouse Phenotyping Consortium (IMPC) data and the UK Biobank exome sequencing and blood screen data to identify gene-phenotype associations || GENERIC_SEQUENCE_LANGUAGE [schema27_title]: Co-analysis of the International Mouse Phenotyping Consortium (IMPC) data and the UK Biobank exome sequencing and blood screen data to identify gene-phenotype associations,WES,WES,C0_CURRENT_STAGE3_ALREADY_RAP_BOUND,HIGH_BASELINE,no,fixed_C0_baseline_from_current_classifier,,,,WES,,Co-analysis of the International Mouse Phenotyping Consortium (IMPC) data and the UK Biobank exome sequencing and blood screen data to identify gene-phenotype associations,https://www.ukbiobank.ac.uk/projects/co-analysis-of-the-international-mouse-phenotyping-consortium-impc-data-and-the-uk-biobank-exome-sequencing-and-blood-screen-data-to-identify-gene-phenotype-associations/
62824,2020-08-19,before_policy,C0,ALREADY_RAP_BOUND,MEDIUM,CONTROL_CANDIDATE_C0,current_conservative_classifier,data/intermediate/rap_classification/stage3_project_rap_exposure_classification.csv,stage3_current_classifier,OMOP_RAP_ONLY [schema27_title]: UK Biobank OMOP based analyses (including COVID-19 network study),OMOP_RAP_ONLY,OMOP_RAP_ONLY,C0_CURRENT_STAGE3_ALREADY_RAP_BOUND,HIGH_BASELINE,no,fixed_C0_baseline_from_current_classifier,,,,OMOP_RAP_ONLY,,UK Biobank OMOP based analyses (including COVID-19 network study),https://www.ukbiobank.ac.uk/projects/uk-biobank-omop-based-analyses-including-covid-19-network-study/
62905,2020-07-27,before_policy,C0,ALREADY_RAP_BOUND,HIGH,CONTROL_CANDIDATE_C0,current_conservative_classifier,data/intermediate/rap_classification/stage3_project_rap_exposure_classification.csv,stage3_current_classifier,"WES [schema27_title]: Analyzing unmappable (""camouflaged"") genome regions in UK Biobank exome sequencing data using the LPA gene as a model. || GENERIC_GENETIC_LANGUAGE [schema27_title]: Analyzing unmappable (""camouflaged"") genome regions in UK Biobank exome sequencing data using the LPA gene as a model. || GENERIC_SEQUENCE_LANGUAGE [schema27_title]: Analyzing unmappable (""camouflaged"") genome regions in UK Biobank exome sequencing data using the LPA gene as a model.",WES,WES,C0_CURRENT_STAGE3_ALREADY_RAP_BOUND,HIGH_BASELINE,no,fixed_C0_baseline_from_current_classifier,,,,WES,,"Analyzing unmappable (""camouflaged"") genome regions in UK Biobank exome sequencing data using the LPA gene as a model.",https://www.ukbiobank.ac.uk/projects/analyzing-unmappable-camouflaged-genome-regions-in-uk-biobank-exome-sequencing-data-using-the-lpa-gene-as-a-model/
65027,2021-10-18,before_policy,C0,ALREADY_RAP_BOUND,HIGH,CONTROL_CANDIDATE_C0,current_conservative_classifier,data/intermediate/rap_classification/stage3_project_rap_exposure_classification.csv,stage3_current_classifier,WGS [schema27_title]: Large-scale genome-wide rare-variant analysis of asthma in a diverse cohort of patients with whole genome sequencing data || GENERIC_GENETIC_LANGUAGE [schema27_title]: Large-scale genome-wide rare-variant analysis of asthma in a diverse cohort of patients with whole genome sequencing data || GENERIC_SEQUENCE_LANGUAGE [schema27_title]: Large-scale genome-wide rare-variant analysis of asthma in a diverse cohort of patients with whole genome sequencing data,WGS,WGS,C0_CURRENT_STAGE3_ALREADY_RAP_BOUND,HIGH_BASELINE,no,fixed_C0_baseline_from_current_classifier,,,,WGS,,Large-scale genome-wide rare-variant analysis of asthma in a diverse cohort of patients with whole genome sequencing data,https://www.ukbiobank.ac.uk/projects/large-scale-genome-wide-rare-variant-analysis-of-asthma-in-a-diverse-cohort-of-patients-with-whole-genome-sequencing-data/
71870,2021-05-28,before_policy,C0,ALREADY_RAP_BOUND,HIGH,CONTROL_CANDIDATE_C0,current_conservative_classifier,data/intermediate/rap_classification/stage3_project_rap_exposure_classification.csv,stage3_current_classifier,"WES [schema27_notes]: ...se targets. The UK Biobank data represents by far the largest available data set of humans with both complete exome sequencing and deep clinical data, and therefore the most powerful available source of information on the impact of p... || GENERIC_GENETIC_LANGUAGE [schema27_notes]: ...of-function (pLoF) variants - variants predicted to break the normal function of protein-coding genes - are a genetic model of gene disruption and can be extremely powerful tools for understanding the potential impact of pharma... || GENERIC_SEQUENCE_LANGUAGE [schema27_notes]: ...gets. The UK Biobank data represents by far the largest available data set of humans with both complete exome sequencing and deep clinical data, and therefore the most powerful available source of information on the impact of pLoF...",WES,WES,C0_CURRENT_STAGE3_ALREADY_RAP_BOUND,HIGH_BASELINE,no,fixed_C0_baseline_from_current_classifier,,,,WES,,Large scale association analyses of UK Biobank data,https://www.ukbiobank.ac.uk/projects/large-scale-association-analyses-of-uk-biobank-data/
72911,2021-06-22,before_policy,C0,ALREADY_RAP_BOUND,HIGH,CONTROL_CANDIDATE_C0,current_conservative_classifier,data/intermediate/rap_classification/stage3_project_rap_exposure_classification.csv,stage3_current_classifier,WES [schema27_notes]: ...nform patient diagnostics or management. Our study aims to harness the power of the UK BioBank cohort and the whole exome sequencing of its participants to better understand the specific genes causing disease within individual patients. We... || GENERIC_GENETIC_LANGUAGE [schema27_notes]: ...the specific genes causing disease within individual patients. We will apply novel methods that integrate all genetic differences across whole genes in a patient specific manner and examine the relationship with the specific di... || GENERIC_SEQUENCE_LANGUAGE [schema27_notes]: ...t diagnostics or management. Our study aims to harness the power of the UK BioBank cohort and the whole exome sequencing of its participants to better understand the specific genes causing disease within individual patients. We wi...,WES,WES,C0_CURRENT_STAGE3_ALREADY_RAP_BOUND,HIGH_BASELINE,no,fixed_C0_baseline_from_current_classifier,,,,WES,,Stratification of complex phenotypes focusing on Inflammatory Bowel Disease and co-morbidities: trialling novel methods,https://www.ukbiobank.ac.uk/projects/stratification-of-complex-phenotypes-focusing-on-inflammatory-bowel-disease-and-co-morbidities-trialling-novel-methods/
