app_id,title,notes_excerpt,matched_term,matched_s3_field_family,classification_reason
1969,Development of structural and functional brain connectivity during normal and pathological ageing,"The network of connections between brain regions undergoes changes during the ageing process. In some cases, these changes lead to developmental disorders at young ages (epilepsy, schizophrenia, depression) or...",brain imaging,Brain MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
11350,"CARDIOMARKER- Computational imaging phenomics in population cardiac MRI with automatic image quality assessment: benchmarking, scalability and inference with state-of-the-art algorithms.","CARDIOMARKER- Computational imaging phenomics in population cardiac MRI with automatic image quality assessment: benchmarking, scalability and inference with state-of-the-art algorithms.",cardiac MRI,Cardiac MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
2964,Description of cardiovascular phenotype in the UK Biobank population based on cardiovascular magnetic resonance and carotid ultrasound,...lar phenotype in the UK Biobank population based on cardiovascular magnetic resonance and carotid ultrasound,carotid ultrasound,Carotid ultrasound,application text matched high-precision term derived from the 199 s3 Schema 1 fields
17881,Quantitatively understanding how bone mineral density varies with age and disease using DXA Region Free Analysis,"...bring a heavy burden on the UK economy each year. UK Biobank provides a unique dataset of DXA images not only in scale but also in anatomic variability, imaging the whole body, lumbar and lateral spine, knee, and hip, that offers an opportunity for a comprehensiv...",DXA images,DXA imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
1015354,Characterizing the role of Adipokines and additional circulating proteins across metabolically challenged individuals in predicting end organ fibroinflammation,"...ves fibroinflammatory damage across multiple organs-HFpEF (heart), MASH (liver), and CKD (kidney). Adipose dysfunction releases pro-inflammatory adipokines (leptin, resistin) while reducing adiponectin. Endotrophin (ETP), a collagen VI-derived peptide, links adipose...",kidney imaging,Kidney imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
33087,Phenome-Wide Association Studies to inform therapeutic development at Novartis Institutes for Biomedical Research,"...ase, activity measured by accelerometers, and use machine learning to examine retinal and liver imaging. Over the three year study period, these results will contribute to drug development by using human data to prioritize targets and their primary indications, und...",liver imaging,Liver imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
9914,Determining the Outcomes of People with Liver Disease,"Perspectum Diagnostics has developed a method of analysing magnetic resonance imaging (MRI) data that gives an accurate estimate of the amount of liver fat, the amount of liver iron, and the extent of inflammation and scarring in the liv...",magnetic resonance imaging,Mixed s3 imaging/file fields,application text matched high-precision term derived from the 199 s3 Schema 1 fields
4844,STratifying Resilience and Depression Longitudinally (STRADL),"...e accurately measured. 4. Identify the mechanisms underlying resilience using genetic and brain imaging data. This research seeks to use the medical, cognitive, imaging and genetic data from UKBiobank to study the mechanisms of common medical conditions and use the...",brain imaging,Brain MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
12010,Determinants of human cardiac structure and function and relation with outcome,"...scular event or early death. Aim: We aim to study genetic and non-genetic determinants of cardiac function and structure parameters. In addition, we aim to study the independent prognostic value of the cardiac function and structure parameters in predicting clinical...",cardiac MRI,Cardiac MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
37462,Protecting the Aging Brain: Self-Organizing Networks and Multi-Scale Dynamics Under Energy Constraints,"...stance and linked comorbidities, such as vascular dementia (assessed via neuroimaging and carotid ultrasound and ECG-derived heart rate variability).",carotid ultrasound,Carotid ultrasound,application text matched high-precision term derived from the 199 s3 Schema 1 fields
35900,Automated analysis of abdominal aortic calcification in DXA VFA images,"...similar build-ups in smaller vessels around the heart. Dual-energy x-ray absorptiometry (DXA) images are x-ray images taken to check for bone thinning in older people, they incidentally show this AAC and can be used to measure it. This is time consuming for radi...",DXA images,DXA imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
117214,Research on the prognostic impact of various metabolic factors on chronic liver disease and liver cancer to explore novel therapeutic targets.,"...ur research project aims to demonstrate the critical role of metabolic factors in chronic liver disease and liver cancer, with the ultimate goal of improving patient outcomes and advancing personalized medicine. Chronic liver disease and liver cancer pose significa...",liver imaging,Liver imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
13126,"The pathogenesis, predictive value and clinical utility of arterial stiffness.",...s related to arterial stiffness (AS) assessed using a) the PulseTrace device (PTD) and b) magnetic resonance imaging (MRI); 2. Identify genes and risk factors predicting worsening PTD-AS and identify if PTD-AS predicts worsening blood pressure; 3. Use genetic informat...,magnetic resonance imaging,Mixed s3 imaging/file fields,application text matched high-precision term derived from the 199 s3 Schema 1 fields
