application_id,application_title,notice_id,notice_date,mapping_status,eligible_for_primary_timing,lineage_id,repo_url,evidence_class,evidence_type,source,reviewer_note
10035,Risk factors and associated causal pathways linked to blood pressure,2025-07-18-ukbiobank,2025-07-18,recovered_exact_literal_notice_link,yes,lineage_dragonriser_biobank-read; lineage_iff-0303_biobank-read; lineage_lenamax2355_biobankread-bash; lineage_os01_biobankread-bash; lineage_seonchoe_biobank-read; lineage_yzharold_biobankread,https://github.com/Dragonriser/biobank-read; https://github.com/IFF-0303/biobank-read; https://github.com/SEONCHOE/biobank-read; https://github.com/lenamax2355/BiobankRead-Bash; https://github.com/os01/BiobankRead-Bash; https://github.com/yzharold/BiobankRead,A1_literal_application_id,literal_application_id_in_offending_notice_path,literal_application_id_in_notice_path; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
10279,The relationship of cognitive function and negative emotions with morbidity and mortality: an aetiological investigation,2025-10-17-uk-biobank,2025-10-17,historical_pptx_notice_link,yes,,https://github.com/JoannaMoodie/moodie-geneexpression-cognition,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,Historical deck records the repository
12184,"Type 2 diabetes, physical activity, sedentary behaviour and sleep.",2026-04-01-uk-biobank-3,2026-04-01,historical_pptx_notice_link,yes,,https://github.com/kremerml/MLTC-clustering,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,Historical deck records the repository
17984,Genotype-environment interactions and sub-classification of disease,2026-03-31-uk-biobank-2,2026-03-31,preserved_curated_link,yes,family_divergence-pipeline,https://github.com/AdrianHarris96/Divergence_Pipeline,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
19136,Lung Health: Genes and environment,2026-03-27-uk-biobank-8,2026-03-27,historical_pptx_notice_link,yes,,https://github.com/miguelmspereira/code-examples,ambiguous,historical_repo_owner_application_chain,empirical 2.pptx slide 19,Historical deck records repository owner Miguel M. S. Pereira
19526,Phenomewide scan of gene level associations,2025-11-13-uk-biobank-7,2025-11-13,preserved_curated_link,yes,family_ptrs-ukb,https://github.com/CuihuaXia/ptrs-ukb; https://github.com/emyanuthomas/ptrs-ukb; https://github.com/hakyimlab/ptrs-ukb,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
19542,Identifying multi-level biomarkers and disease mechanisms for major mental disorders,2025-10-15-uk-biobank-3,2025-10-15,preserved_curated_link,yes,family_imds-wes; family_pain-proteomics,https://github.com/Frank-HQZ/Pain_Proteomics; https://github.com/Sirius-Yang/IMDs_WES; https://github.com/jjrun-11/IMDs_WES,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
19542,Identifying multi-level biomarkers and disease mechanisms for major mental disorders,2025-12-01-uk-biobank-2,2025-12-01,preserved_curated_link,yes,family_imds-wes; family_pain-proteomics,https://github.com/Frank-HQZ/Pain_Proteomics; https://github.com/Sirius-Yang/IMDs_WES; https://github.com/jjrun-11/IMDs_WES,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Additional valid notice linked to the same application.
22224,Prospective studies of ageing and age-related diseases,2025-10-15-uk-biobank-4,2025-10-15,historical_pptx_notice_link,yes,,https://github.com/becomingcc/ukbfrailty; https://github.com/jonathanklmak/UKB_bioage_cancer,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,Historical deck records the bioage-cancer repository and DOI 10.1038/s41416-023-02288-w for application 22224.
22224,Prospective studies of ageing and age-related diseases,2025-11-07-uk-biobank,2025-11-07,historical_pptx_notice_link,yes,,https://github.com/becomingcc/ukbfrailty; https://github.com/jonathanklmak/UKB_bioage_cancer,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,Historical deck records the ukbfrailty repository and DOI 10.1093/gerona/gly094 for application 22224.
